sweep_id,year,carrier,capacity_gw
c350,2030,Biomass,1.4999999678020286
c350,2030,Black Coal,11.875
c350,2030,Brown Coal,3.37
c350,2030,Gas,18.24115398820876
c350,2030,Liquid Fuel,0.5671799999999999
c350,2030,Solar,21.32627761165732
c350,2030,Water,6.88512
c350,2030,Wind,41.047229866634666
c350,2035,Biomass,3.467790108859394
c350,2035,Black Coal,7.14
c350,2035,Brown Coal,1.16
c350,2035,Gas,18.338188376801128
c350,2035,Liquid Fuel,0.14368
c350,2035,Solar,23.854353532452798
c350,2035,Water,6.88512
c350,2035,Wind,45.76077511986634
c350,2040,Biomass,6.4348394999437195
c350,2040,Black Coal,3.9
c350,2040,Brown Coal,1.16
c350,2040,Gas,17.322775259258005
c350,2040,Liquid Fuel,0.12288
c350,2040,Solar,26.511781836930062
c350,2040,Water,6.88512
c350,2040,Wind,49.380730221213994
c350,2045,Biomass,8.464611848933227
c350,2045,Black Coal,1.696
c350,2045,Brown Coal,1.16
c350,2045,Gas,16.788372279313933
c350,2045,Liquid Fuel,0.12288
c350,2045,Solar,26.5101308539386
c350,2045,Water,6.88512
c350,2045,Wind,49.64563098603634
c350,2050,Biomass,9.677988737833244
c350,2050,Black Coal,1.696
c350,2050,Gas,18.36355826088028
c350,2050,Liquid Fuel,0.12288
c350,2050,Solar,26.50419348005689
c350,2050,Water,6.88512
c350,2050,Wind,49.78386901946488
