sweep_id,year,carrier,capacity_gw
c250,2030,Biomass,1.499999973700723
c250,2030,Black Coal,11.875
c250,2030,Brown Coal,3.37
c250,2030,Gas,17.14693959133919
c250,2030,Liquid Fuel,0.5671799999999999
c250,2030,Solar,21.25101067474066
c250,2030,Water,6.88512
c250,2030,Wind,41.043245308820815
c250,2035,Biomass,3.4678295375198327
c250,2035,Black Coal,7.14
c250,2035,Brown Coal,1.16
c250,2035,Gas,17.259574490294767
c250,2035,Liquid Fuel,0.14368
c250,2035,Solar,23.70210076407693
c250,2035,Water,6.88512
c250,2035,Wind,45.68961944300275
c250,2040,Biomass,6.43491246847693
c250,2040,Black Coal,3.9
c250,2040,Brown Coal,1.16
c250,2040,Gas,16.73722787471209
c250,2040,Liquid Fuel,0.12288
c250,2040,Solar,26.14859390576742
c250,2040,Water,6.88512
c250,2040,Wind,49.15603578551866
c250,2045,Biomass,8.43613784133963
c250,2045,Black Coal,1.696
c250,2045,Brown Coal,1.16
c250,2045,Gas,16.2735290287997
c250,2045,Liquid Fuel,0.12288
c250,2045,Solar,26.139045162835796
c250,2045,Water,6.88512
c250,2045,Wind,49.385968460385506
c250,2050,Biomass,9.686621284143097
c250,2050,Black Coal,1.696
c250,2050,Gas,18.03114053031988
c250,2050,Liquid Fuel,0.12288
c250,2050,Solar,26.137835799304447
c250,2050,Water,6.88512
c250,2050,Wind,49.52462388304704
