sweep_id,year,carrier,capacity_gw
c0,2030,Biomass,0.03202901324620227
c0,2030,Black Coal,11.875
c0,2030,Brown Coal,3.37
c0,2030,Gas,11.23043391723346
c0,2030,Liquid Fuel,0.5671799999999999
c0,2030,Solar,19.80604905979067
c0,2030,Water,6.88512
c0,2030,Wind,26.651086750995777
c0,2035,Biomass,1.5800860374439405
c0,2035,Black Coal,7.14
c0,2035,Brown Coal,1.16
c0,2035,Gas,15.098041429273453
c0,2035,Liquid Fuel,0.14368
c0,2035,Solar,20.641177061810097
c0,2035,Water,6.88512
c0,2035,Wind,37.328390551142526
c0,2040,Biomass,4.547835595685961
c0,2040,Black Coal,3.9
c0,2040,Brown Coal,1.16
c0,2040,Gas,16.689122522725356
c0,2040,Liquid Fuel,0.12288
c0,2040,Solar,22.117400627753177
c0,2040,Water,6.88512
c0,2040,Wind,41.423153265352376
c0,2045,Biomass,6.47675225359336
c0,2045,Black Coal,1.696
c0,2045,Brown Coal,1.16
c0,2045,Gas,17.811691771480824
c0,2045,Liquid Fuel,0.12288
c0,2045,Solar,22.11573053693038
c0,2045,Water,6.88512
c0,2045,Wind,43.49313886338568
c0,2050,Biomass,8.754469887097157
c0,2050,Black Coal,1.696
c0,2050,Gas,18.36468777191583
c0,2050,Liquid Fuel,0.12288
c0,2050,Solar,22.112329335379666
c0,2050,Water,6.88512
c0,2050,Wind,44.70150146756728
