sweep_id,year,carrier,capacity_gw
c150,2030,Biomass,1.4999998785515278
c150,2030,Black Coal,11.875
c150,2030,Brown Coal,3.37
c150,2030,Gas,14.19676900048509
c150,2030,Liquid Fuel,0.5671799999999999
c150,2030,Solar,20.918044386931655
c150,2030,Water,6.88512
c150,2030,Wind,41.33517116480258
c150,2035,Biomass,3.4670433392452096
c150,2035,Black Coal,7.14
c150,2035,Brown Coal,1.16
c150,2035,Gas,14.527565243058483
c150,2035,Liquid Fuel,0.14368
c150,2035,Solar,23.237177301269902
c150,2035,Water,6.88512
c150,2035,Wind,45.924790581775035
c150,2040,Biomass,6.43410382270913
c150,2040,Black Coal,3.9
c150,2040,Brown Coal,1.16
c150,2040,Gas,15.08044510668751
c150,2040,Liquid Fuel,0.12288
c150,2040,Solar,25.403174543971378
c150,2040,Water,6.88512
c150,2040,Wind,49.513776325048845
c150,2045,Biomass,8.558715176344045
c150,2045,Black Coal,1.696
c150,2045,Brown Coal,1.16
c150,2045,Gas,14.620930511796484
c150,2045,Liquid Fuel,0.12288
c150,2045,Solar,25.401327901475533
c150,2045,Water,6.88512
c150,2045,Wind,49.707779321122075
c150,2050,Biomass,9.861449856662597
c150,2050,Black Coal,1.696
c150,2050,Gas,16.86708262495478
c150,2050,Liquid Fuel,0.12288
c150,2050,Solar,25.39720488219319
c150,2050,Water,6.88512
c150,2050,Wind,49.769231171626764
