import time: self [us] | cumulative | imported package
import time:      8781 |       8781 |                           _compat_pickle
import time:       393 |        393 |                           _pickle
import time:    408119 |     417293 |                         pickle
import time:    286231 |     703524 |                       numpy._core._methods
import time:    246290 |     949813 |                     numpy._core.fromnumeric
import time:    225985 |    1175798 |                   numpy._core.shape_base
import time:     27117 |      27117 |                   numpy._core._ufunc_config
import time:     16698 |      16698 |                   numpy._core._asarray
import time:     18954 |      18954 |                   numpy._core.arrayprint
import time:    717701 |    1956266 |                 numpy._core.numeric
import time:    187434 |    2143699 |               numpy._core.einsumfunc
import time:     16905 |      16905 |               numpy._core.function_base
import time:     29410 |      29410 |               numpy._core.getlimits
import time:     17114 |      17114 |               numpy._core.memmap
import time:     19352 |      19352 |               numpy._core.records
import time:     26443 |      26443 |               numpy._core._add_newdocs
import time:     18892 |      18892 |               numpy._core._add_newdocs_scalars
import time:     18727 |      18727 |               numpy._core._dtype_ctypes
import time:     19872 |      19872 |                   _ctypes
import time:      2605 |       2605 |                   ctypes._endian
import time:    334161 |     356636 |                 ctypes
import time:    164200 |     520836 |               numpy._core._internal
import time:     28283 |      28283 |               numpy._pytesttester
import time:   2549786 |    8322748 |             numpy._core
import time:    136972 |    8459720 |           numpy._core._multiarray_umath
import time:    226001 |    8685720 |         numpy.__config__
import time:     13403 |      13403 |                           numpy._typing._nbit_base
import time:     20960 |      20960 |                           numpy._typing._nested_sequence
import time:     16936 |      16936 |                           numpy._typing._shape
import time:    735158 |     786455 |                         numpy._typing._array_like
import time:     22692 |      22692 |                         numpy._typing._char_codes
import time:     25125 |      25125 |                         numpy._typing._dtype_like
import time:     30002 |      30002 |                         numpy._typing._nbit
import time:     34259 |      34259 |                         numpy._typing._scalars
import time:     29859 |      29859 |                         numpy._typing._ufunc
import time:   1400565 |    2328954 |                       numpy._typing
import time:     22976 |      22976 |                         numpy.lib._stride_tricks_impl
import time:    240996 |     263972 |                       numpy.lib._twodim_base_impl
import time:     23061 |      23061 |                         numpy.lib._array_utils_impl
import time:    300025 |     323086 |                       numpy.lib.array_utils
import time:     31141 |      31141 |                       numpy.linalg._umath_linalg
import time:    809524 |    3756675 |                     numpy.linalg._linalg
import time:    214606 |    3971280 |                   numpy.linalg
import time:    209665 |    4180945 |                 numpy.matrixlib.defmatrix
import time:    213579 |    4394524 |               numpy.matrixlib
import time:     23119 |      23119 |                 numpy.lib._histograms_impl
import time:    239529 |     262647 |               numpy.lib._function_base_impl
import time:    518088 |    5175258 |             numpy.lib._index_tricks_impl
import time:    374004 |    5549262 |           numpy.lib._arraypad_impl
import time:     27995 |      27995 |           numpy.lib._arraysetops_impl
import time:     30580 |      30580 |           numpy.lib._arrayterator_impl
import time:     23348 |      23348 |           numpy.lib._nanfunctions_impl
import time:      8743 |       8743 |                     _wmi
import time:    172173 |     180916 |                   platform
import time:    195279 |     376195 |                 numpy.lib._utils_impl
import time:    237383 |     613577 |               numpy.lib._format_impl
import time:    244606 |     858183 |             numpy.lib.format
import time:     20792 |      20792 |             numpy.lib._datasource
import time:    112454 |     112454 |             numpy.lib._iotools
import time:    725898 |    1717325 |           numpy.lib._npyio_impl
import time:     34689 |      34689 |               numpy.lib._ufunclike_impl
import time:    228120 |     262809 |             numpy.lib._type_check_impl
import time:    269670 |     532479 |           numpy.lib._polynomial_impl
import time:     40334 |      40334 |           numpy.lib._shape_base_impl
import time:     17322 |      17322 |           numpy.lib._version
import time:     24623 |      24623 |           numpy.lib.introspect
import time:     21047 |      21047 |           numpy.lib.mixins
import time:     17563 |      17563 |           numpy.lib.npyio
import time:    153709 |     153709 |             numpy.lib._scimath_impl
import time:    186839 |     340547 |           numpy.lib.scimath
import time:     18119 |      18119 |           numpy.lib.stride_tricks
import time:   2297335 |   10657873 |         numpy.lib
import time:     35026 |      35026 |         numpy._array_api_info
import time:   1240472 |   21497026 |       numpy
import time:     25568 |      25568 |         pytz.exceptions
import time:     20483 |      20483 |         pytz.lazy
import time:     19982 |      19982 |         pytz.tzinfo
import time:     28393 |      28393 |         pytz.tzfile
import time:    680339 |     774763 |       pytz
