archetype_id,year,renewable_share_pct
cost_optimal,2025,27.56131857378462
cost_optimal,2030,26.655291072110227
cost_optimal,2035,31.258403555948995
cost_optimal,2040,40.69323969416977
cost_optimal,2045,59.060281545389905
cost_optimal,2050,60.063658558990554
fossil_incumbent,2025,27.473442616923915
fossil_incumbent,2030,25.83767418757304
fossil_incumbent,2035,23.992577617457634
fossil_incumbent,2040,23.527914015269353
fossil_incumbent,2045,39.922214510634994
fossil_incumbent,2050,39.6665200169379
gas_fleet_maintained,2025,27.56131857378462
gas_fleet_maintained,2030,40.10913108950969
gas_fleet_maintained,2035,43.42903201807172
gas_fleet_maintained,2040,50.45765700496698
gas_fleet_maintained,2045,63.1528774760481
gas_fleet_maintained,2050,63.07885635318331
nuclear_baseload,2025,27.556837913679434
nuclear_baseload,2030,26.65249967808104
nuclear_baseload,2035,31.268367841502968
nuclear_baseload,2040,39.97995356420926
nuclear_baseload,2045,53.88421209672879
nuclear_baseload,2050,58.349685714489254
rapid_coal_phaseout,2025,27.56131857378462
rapid_coal_phaseout,2030,40.127935187205
rapid_coal_phaseout,2035,43.699249164743925
rapid_coal_phaseout,2040,50.45765700496698
rapid_coal_phaseout,2045,63.1528774760481
rapid_coal_phaseout,2050,63.07885635318331
storage_led,2025,27.553734689953046
storage_led,2030,27.516710186521014
storage_led,2035,71.21022480267015
storage_led,2040,77.85228321576308
storage_led,2045,82.98776075319442
storage_led,2050,83.80055391306901
