archetype_id,year,demand_twh,total_generation_twh,supply_gap_pct
cost_optimal,2025,182.22617361167872,183.38141610083713,0.6339607896394874
cost_optimal,2030,212.0867087218111,215.93659964252873,1.8152438424453243
cost_optimal,2035,228.8531211984799,234.17505667633384,2.3254808367845428
cost_optimal,2040,253.04959514817423,258.9048747088435,2.3138861602369767
cost_optimal,2045,269.91814519890954,276.71100671666505,2.516637594982611
cost_optimal,2050,276.29928552560864,283.5862600131029,2.637348291955261
fossil_incumbent,2025,182.22617361167872,183.20559195295826,0.5374740202615803
fossil_incumbent,2030,212.0867087218111,214.2667417860924,1.0278970697502692
fossil_incumbent,2035,228.8531211984799,234.11492156974523,2.299204111226385
fossil_incumbent,2040,253.04959514817423,259.0339877659633,2.364908987222384
fossil_incumbent,2045,269.91814519890954,276.4216621487619,2.409440441679014
fossil_incumbent,2050,276.29928552560864,282.5352455559057,2.25695843492113
gas_fleet_maintained,2025,182.22617361167872,183.38141610083713,0.6339607896394874
gas_fleet_maintained,2030,212.0867087218111,216.0653807696733,1.8759648220487628
gas_fleet_maintained,2035,228.8531211984799,233.95020889440988,2.22723101578737
gas_fleet_maintained,2040,253.04959514817423,259.02259186109706,2.3604055597975955
gas_fleet_maintained,2045,269.91814519890954,277.01412060306035,2.628936042414503
gas_fleet_maintained,2050,276.29928552560864,284.06478665712945,2.810539707603068
nuclear_baseload,2025,182.22617361167872,183.37192779228872,0.6287539039543169
nuclear_baseload,2030,212.0867087218111,215.91789322945837,1.8064236701756338
nuclear_baseload,2035,228.8531211984799,234.1859107437985,2.3302236462370898
nuclear_baseload,2040,253.04959514817423,258.9368197115402,2.3265101688539147
nuclear_baseload,2045,269.91814519890954,276.7874606499524,2.544962453702643
nuclear_baseload,2050,276.29928552560864,284.11965666734824,2.830398611731039
rapid_coal_phaseout,2025,182.22617361167872,183.38141610083713,0.6339607896394874
rapid_coal_phaseout,2030,212.0867087218111,216.105294372468,1.894784295949426
rapid_coal_phaseout,2035,228.8531211984799,233.87788790681876,2.195629529553575
rapid_coal_phaseout,2040,253.04959514817423,259.02259186109706,2.3604055597975955
rapid_coal_phaseout,2045,269.91814519890954,277.01412060306035,2.628936042414503
rapid_coal_phaseout,2050,276.29928552560864,284.06478665712945,2.810539707603068
storage_led,2025,182.22617361167872,183.3412693597989,0.6119295192448266
storage_led,2030,212.0867087218111,216.5767592688998,2.1170824773268424
storage_led,2035,228.8531211984799,236.80360988168252,3.474057352404348
storage_led,2040,253.04959514817423,263.8869779022444,4.282710963328864
storage_led,2045,269.91814519890954,283.2597738060147,4.942842429979433
storage_led,2050,276.29928552560864,287.9189730682669,4.205471440345526
