archetype_id,year,technology,capacity_gw
storage_led,2030,Gas,10.64796
storage_led,2030,Hyblend,0.4
storage_led,2030,Hydrogen,0.0
storage_led,2030,Liquid Fuel,0.527
storage_led,2030,Solar,14.90393262426104
storage_led,2030,Water,6.83712
storage_led,2030,Wind,18.100966211055795
storage_led,2035,Biomass,0.09978915983297441
storage_led,2035,Gas,10.004100000000001
storage_led,2035,Hyblend,0.4
storage_led,2035,Hydrogen,0.0
storage_led,2035,Liquid Fuel,0.1035
storage_led,2035,Solar,39.515339403114865
storage_led,2035,Water,6.83712
storage_led,2035,Wind,44.79776010458694
storage_led,2040,Biomass,0.5222250365597565
storage_led,2040,Gas,7.8857
storage_led,2040,Hyblend,0.4
storage_led,2040,Hydrogen,0.0
storage_led,2040,Liquid Fuel,0.1035
storage_led,2040,Solar,59.54320912531382
storage_led,2040,Water,6.75072
storage_led,2040,Wind,44.441826946987604
storage_led,2045,Biomass,0.5645138403769004
storage_led,2045,Gas,5.263
storage_led,2045,Hyblend,0.4
storage_led,2045,Hydrogen,0.0
storage_led,2045,Liquid Fuel,0.1035
storage_led,2045,Solar,53.67807147189194
storage_led,2045,Water,6.68072
storage_led,2045,Wind,20.408945526967578
storage_led,2050,Biomass,2.5643539607094463
storage_led,2050,Gas,2.406
storage_led,2050,Hyblend,0.4
storage_led,2050,Hydrogen,0.0
storage_led,2050,Liquid Fuel,0.1035
storage_led,2050,Solar,79.72953294115106
storage_led,2050,Water,6.68072
storage_led,2050,Wind,42.094300202735845
cost_optimal,2025,Biomass,0.0
cost_optimal,2025,Black Coal,13.555
cost_optimal,2025,Brown Coal,4.82
cost_optimal,2025,Gas,11.873959999999999
cost_optimal,2025,Hydrogen,7.26525785026647
cost_optimal,2025,Liquid Fuel,0.6635
cost_optimal,2025,Solar,10.742492849051542
cost_optimal,2025,Water,6.83712
cost_optimal,2025,Wind,13.384970297778418
cost_optimal,2030,Biomass,0.0
cost_optimal,2030,Black Coal,12.855
cost_optimal,2030,Brown Coal,3.37
cost_optimal,2030,Gas,12.198183966940196
cost_optimal,2030,Hyblend,0.4
cost_optimal,2030,Hydrogen,0.0
cost_optimal,2030,Liquid Fuel,0.527
