archetype_id,year,renewable_share_pct
cost_optimal,2025,24.45520628553264
cost_optimal,2030,28.75718735128181
cost_optimal,2035,53.939362850960535
cost_optimal,2040,66.41533484903469
cost_optimal,2045,75.8805339685302
cost_optimal,2050,82.35397116767457
fossil_incumbent,2025,22.958891300717386
fossil_incumbent,2030,22.334226638976347
fossil_incumbent,2035,25.205351568383016
fossil_incumbent,2040,30.440031947777747
fossil_incumbent,2045,46.24021880432994
fossil_incumbent,2050,55.57448286197955
storage_led,2025,24.45520628553264
storage_led,2030,28.757233705551826
storage_led,2035,74.94488864559072
storage_led,2040,79.40791668948215
storage_led,2045,83.86294064830206
storage_led,2050,86.17962479576026
cost_optimal,2025,21.161168589862438
cost_optimal,2030,26.091013960128056
cost_optimal,2035,28.060756448986
cost_optimal,2040,47.54245175016051
cost_optimal,2045,68.17242589956555
cost_optimal,2050,82.59863704337585
fossil_incumbent,2025,21.353330676297293
fossil_incumbent,2030,22.3562001072994
fossil_incumbent,2035,20.78584323809009
fossil_incumbent,2040,23.552772276974306
fossil_incumbent,2045,45.13725434292513
fossil_incumbent,2050,72.17257048971379
gas_fleet_maintained,2025,21.161168589862438
gas_fleet_maintained,2030,36.74590439957812
gas_fleet_maintained,2035,41.9074369976065
gas_fleet_maintained,2040,55.6223058296826
gas_fleet_maintained,2045,73.49545989465311
gas_fleet_maintained,2050,86.76845738627046
nuclear_baseload,2025,21.162660302469284
nuclear_baseload,2030,26.206435203319327
nuclear_baseload,2035,28.078803724907193
nuclear_baseload,2040,47.54944407404806
nuclear_baseload,2045,61.709599367189426
nuclear_baseload,2050,71.06042984036462
rapid_coal_phaseout,2025,21.161168589862438
rapid_coal_phaseout,2030,36.684464976485756
rapid_coal_phaseout,2035,41.91705073847533
rapid_coal_phaseout,2040,55.6223058296826
rapid_coal_phaseout,2045,73.49545989465311
rapid_coal_phaseout,2050,86.76845738627046
storage_led,2025,21.171225301223014
storage_led,2030,28.05166802036424
storage_led,2035,77.92767878301616
storage_led,2040,82.87783926153715
storage_led,2045,83.7503973321098
storage_led,2050,86.98348562541113
