sweep_id,year,carrier,capacity_gw
c40,2030,Biomass,0.798531281518687
c40,2030,Black Coal,11.875
c40,2030,Brown Coal,3.37
c40,2030,Gas,11.1340401713608
c40,2030,Liquid Fuel,0.5671799999999999
c40,2030,Solar,20.328582764164253
c40,2030,Water,6.88512
c40,2030,Wind,35.37002925760052
c40,2035,Biomass,2.766429718805321
c40,2035,Black Coal,7.14
c40,2035,Brown Coal,1.16
c40,2035,Gas,13.809639473242076
c40,2035,Liquid Fuel,0.14368
c40,2035,Solar,22.16880208185825
c40,2035,Water,6.88512
c40,2035,Wind,41.77128336115516
c40,2040,Biomass,5.734121061774405
c40,2040,Black Coal,3.9
c40,2040,Brown Coal,1.16
c40,2040,Gas,15.413125544107206
c40,2040,Liquid Fuel,0.12288
c40,2040,Solar,23.152576301618584
c40,2040,Water,6.88512
c40,2040,Wind,45.52830675272103
c40,2045,Biomass,7.553895374267648
c40,2045,Black Coal,1.696
c40,2045,Brown Coal,1.16
c40,2045,Gas,16.356579188078594
c40,2045,Liquid Fuel,0.12288
c40,2045,Solar,23.14984614937847
c40,2045,Water,6.88512
c40,2045,Wind,46.47032672231322
c40,2050,Biomass,9.205803096010388
c40,2050,Black Coal,1.696
c40,2050,Gas,17.748821482883656
c40,2050,Liquid Fuel,0.12288
c40,2050,Solar,23.147119629696107
c40,2050,Water,6.88512
c40,2050,Wind,47.147601736015176
