sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_diesel,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh
c0,0.0,0.0,2030,9.765570917001131,0.2879047054976874,0.2887887744663098,3.1067410135171434,3.126128410292303e-07,0.0827988419319577,0.0196073154173703,189.41096450104777,,,,,3563.5249195992947,Optimal,False,0.0,0,0.0,1377747355.8075914,90.74839,70.900204008418,2.4917187435702197,15.622378116666914,13.130659373096696,0.0
c0,0.0,0.0,2035,17.799035690686036,0.1580507027144529,0.1600412072211177,1.5172681436500548,0.0001076767234012,0.3856727897360816,0.8545096800464143,218.7816694796174,,,,,4312.984807601199,Optimal,False,749565800.3222647,1,7.34554687764826,970701074.6418356,82.92256,80.84229743375451,9.93609690310005,20.931224823965263,10.995127920865212,0.0
c0,0.0,0.0,2040,23.918286170424217,0.1269752473707427,0.1314212717524758,1.077435313655177,4.557009255505647e-05,0.5520247809095412,2.265785487901406,238.9062472439576,,,,,4575.019199300557,Optimal,False,2717577097.337821,2,24.636250719192837,683847384.6606917,77.02510000000001,82.90133774691289,9.680799619789273,22.48904857344736,12.808248953658085,0.0
c0,0.0,0.0,2045,27.49946245918044,0.0918826433657569,0.0975685163881632,0.7027484163297005,4.3305047242694246e-05,0.5267037039828251,3.0072561844127788,246.9725735076325,,,,,4290.748445101082,Optimal,False,4701723589.283598,3,37.14538280417554,467229368.83918345,69.57561,86.95252025456016,6.570203453977421,18.652701592509917,12.082498138532491,0.0
c0,0.0,0.0,2050,33.31797071346301,0.0446807778744452,0.0517978380774214,0.2343523013491042,0.0001858778671095,0.4586804840857399,3.889517597072071,252.0168366180842,,,,,5891.423848399892,Optimal,False,5971732551.775582,4,44.79034792316042,249682162.71527335,61.07735,91.2560796113767,8.631466438675119,18.89052714984885,10.259060711173737,0.0
c150,150.0,0.0,2030,26.73484691216578,0.0310574490203475,0.03259023641674,0.2586200914264461,3.480638902293578e-06,0.5473874851545519,0.8033219090085981,189.41096450104777,,,,,3242.236716499552,Optimal,False,0.0,0,0.0,1377747355.8075914,90.74839,91.0937051440254,19.46099473873487,33.334402620621695,8.984872419375824,4.888535462511003
c150,150.0,0.0,2035,29.093062974756897,0.0194046902836703,0.0225077195561794,0.1375937576893551,8.88700040132264e-05,0.4791005383493906,1.6943463249245083,218.7816694796174,,,,,5522.2123312000185,Optimal,False,3458052361.95906,1,27.548356930371657,970701074.6418356,82.92256,93.09653627129308,8.850263625364887,20.14672076781132,7.920299209019519,3.3761579334269114
c150,150.0,0.0,2040,34.405010500209286,0.0154840498032246,0.0208673808783406,0.0981047812115559,4.890573045243872e-05,0.4898958267455472,2.967819033119503,238.9062472439576,,,,,5242.698924699798,Optimal,False,4908834361.839066,2,37.1300362748857,683847384.6606917,77.02510000000001,93.2745391036056,10.995485588167844,23.32117718375239,9.19558446383345,3.1301071317510942
c150,150.0,0.0,2045,37.10748209366405,0.0103886786192614,0.0169590542839653,0.0588054212937598,5.603559029397426e-05,0.3963271251538145,3.634787361085485,246.9725735076325,,,,,4636.099280601367,Optimal,False,6891890421.677145,3,48.792986059865086,467229368.83918345,69.57561,94.7716688701156,7.310166197415756,18.31806225578559,8.46403791577503,2.543858142594806
c150,150.0,0.0,2050,39.544869121067904,0.0090213176093325,0.0162122255905578,0.0419780554418349,3.311992781596237e-05,0.3708285392836543,3.981982178491184,252.0168366180842,,,,,5892.621779501438,Optimal,False,7972171849.397657,4,53.17905574784768,249682162.71527335,61.07735,95.1677550500604,6.920644000058879,17.716123957356647,8.36364611871409,2.4318338385836804
