archetype_id,year,storage_power_gw,storage_energy_gwh
cost_optimal,2025,15.02270711261729,428.4963406024385
cost_optimal,2030,15.028846404216292,428.63238771098014
cost_optimal,2035,15.176725626065235,430.23110135657083
cost_optimal,2040,16.229793245243716,438.8237056805683
cost_optimal,2045,16.38439727947651,461.4582726898622
cost_optimal,2050,15.757317755202982,466.25116023176133
fossil_incumbent,2025,15.021949535795942,428.49371121255075
fossil_incumbent,2030,14.992125652221869,428.4849787336164
fossil_incumbent,2035,15.91433376634653,436.28122754807947
fossil_incumbent,2040,16.1629302752062,439.20803998253433
fossil_incumbent,2045,15.701933079064245,454.715030382283
fossil_incumbent,2050,13.703857519300715,451.89816740039083
gas_fleet_maintained,2025,15.02270711261729,428.4963406024385
gas_fleet_maintained,2030,15.428591033837517,430.25880533161205
gas_fleet_maintained,2035,15.170217011887784,430.0737650658524
gas_fleet_maintained,2040,16.370379218111083,440.01883361496954
gas_fleet_maintained,2045,16.85543771466054,465.4160600784727
gas_fleet_maintained,2050,16.78924231258635,475.95102815729837
nuclear_baseload,2025,15.02280189773691,428.4966550528019
nuclear_baseload,2030,15.029605315116543,428.6354891621691
nuclear_baseload,2035,15.170934909467727,430.19298804644666
nuclear_baseload,2040,16.255478250998237,438.9360230894225
nuclear_baseload,2045,16.431484386737925,461.65055108252653
nuclear_baseload,2050,16.76411312189726,477.2519238880199
rapid_coal_phaseout,2025,15.02270711261729,428.4963406024385
rapid_coal_phaseout,2030,15.459219756130818,430.37738930741693
rapid_coal_phaseout,2035,15.266020175678584,430.71783703296535
rapid_coal_phaseout,2040,16.370379218111083,440.01883361496954
rapid_coal_phaseout,2045,16.85543771466054,465.4160600784727
rapid_coal_phaseout,2050,16.78924231258635,475.95102815729837
storage_led,2025,15.021935158042504,428.4937681197898
storage_led,2030,33.92146534973508,447.41448796213757
storage_led,2035,38.61906616156373,489.3128511401011
storage_led,2040,38.4337672263789,540.7187909753959
storage_led,2045,41.78767180774991,615.6517927226639
storage_led,2050,40.34967504852089,563.6271842929765
