archetype_id,year,technology,capacity_gw
fossil_incumbent,2030,Solar,12.78858
fossil_incumbent,2030,Water,7.65412
fossil_incumbent,2030,Wind,14.732619999999999
fossil_incumbent,2035,Biomass,0.0
fossil_incumbent,2035,Black Coal,13.555
fossil_incumbent,2035,Brown Coal,4.82
fossil_incumbent,2035,Gas,10.004100000000001
fossil_incumbent,2035,Hyblend,0.4
fossil_incumbent,2035,Hydrogen,0.0
fossil_incumbent,2035,Liquid Fuel,0.1035
fossil_incumbent,2035,Solar,12.782459999999999
fossil_incumbent,2035,Water,9.652119999999998
fossil_incumbent,2035,Wind,14.178552220278325
fossil_incumbent,2040,Biomass,0.0
fossil_incumbent,2040,Black Coal,12.855
fossil_incumbent,2040,Brown Coal,3.37
fossil_incumbent,2040,Gas,7.8857
fossil_incumbent,2040,Hyblend,0.4
fossil_incumbent,2040,Hydrogen,0.0
fossil_incumbent,2040,Liquid Fuel,0.1035
fossil_incumbent,2040,Solar,12.46116
fossil_incumbent,2040,Water,9.565719999999999
fossil_incumbent,2040,Wind,19.21354537078903
fossil_incumbent,2045,Biomass,1.003590990735955
fossil_incumbent,2045,Black Coal,7.14
fossil_incumbent,2045,Brown Coal,1.16
fossil_incumbent,2045,Gas,5.263
fossil_incumbent,2045,Hyblend,0.4
fossil_incumbent,2045,Hydrogen,0.0
fossil_incumbent,2045,Liquid Fuel,0.1035
fossil_incumbent,2045,Solar,11.23551
fossil_incumbent,2045,Water,9.495719999999999
fossil_incumbent,2045,Wind,30.43127619116365
fossil_incumbent,2050,Biomass,7.299253883443268
fossil_incumbent,2050,Black Coal,3.9
fossil_incumbent,2050,Brown Coal,1.16
fossil_incumbent,2050,Gas,6.298617723878322
fossil_incumbent,2050,Hyblend,0.4
fossil_incumbent,2050,Hydrogen,0.0
fossil_incumbent,2050,Liquid Fuel,0.1035
fossil_incumbent,2050,Solar,6.65627
fossil_incumbent,2050,Water,9.495719999999999
fossil_incumbent,2050,Wind,35.3757636202429
gas_bridge,2025,Biomass,0.0
gas_bridge,2025,Black Coal,13.555
