archetype_id,year,demand_twh,total_generation_twh,supply_gap_pct
cost_optimal,2025,200.54380680008143,201.13099036676545,0.2927956619819033
cost_optimal,2030,229.26063757755153,230.75035986279715,0.6497941822837652
cost_optimal,2035,252.02391441684935,255.68619132985222,1.453146587885087
cost_optimal,2040,277.9009277304443,283.8499096611123,2.1406844443636883
cost_optimal,2045,263.1112886028408,269.462767691973,2.413989579413144
cost_optimal,2050,296.6984159983122,305.2987623480904,2.8986829339281335
fast_fossil_exit,2025,200.54380680008143,201.13111550962256,0.292858063737974
fast_fossil_exit,2030,229.26063757755153,233.2187955540994,1.726488253008072
fast_fossil_exit,2035,252.02391441684935,256.9381696255891,1.949916229224003
fast_fossil_exit,2040,277.9009277304443,284.8992960219239,2.5182961239581747
fast_fossil_exit,2045,263.1112886028408,269.8818625523124,2.573273836111083
fast_fossil_exit,2050,296.6984159983122,305.47127745760463,2.9568278717545686
fossil_incumbent,2025,200.54380680008143,201.129705672435,0.29215505664436997
fossil_incumbent,2030,229.26063757755153,230.4502663886157,0.5188979772690986
fossil_incumbent,2035,252.02391441684935,254.90892368969446,1.144736315805846
fossil_incumbent,2040,277.9009277304443,282.4138410826965,1.6239288544691648
fossil_incumbent,2045,263.1112886028408,272.4379875807079,3.5447734026895183
fossil_incumbent,2050,296.6984159983122,302.61519287630426,1.9942057520204934
gas_bridge,2025,200.54380680008143,201.13099036676545,0.2927956619819033
gas_bridge,2030,229.26063757755153,233.2186522931778,1.7264257647749799
gas_bridge,2035,252.02391441684935,256.938387718574,1.9500027658470926
gas_bridge,2040,277.9009277304443,284.9008983521526,2.5188727072181774
gas_bridge,2045,263.1112886028408,269.881956352183,2.5733094863756945
gas_bridge,2050,296.6984159983122,305.47514425974595,2.9581311487297075
storage_led,2025,200.54380680008143,201.13111550962256,0.292858063737974
storage_led,2030,229.26063757755153,230.7511315911539,0.6501307984447002
storage_led,2035,252.02391441684935,256.93833833120425,1.9499831695441405
storage_led,2040,277.9009277304443,284.90137768787986,2.5190451916107954
storage_led,2045,263.1112886028408,269.8820064025292,2.5733285088762194
storage_led,2050,296.6984159983122,305.48000212986636,2.95976845781478
