archetype_id,year,renewable_share_pct
cost_optimal,2025,24.45520628553264
cost_optimal,2030,28.75718735128181
cost_optimal,2035,53.939362850960535
cost_optimal,2040,66.41533484903469
cost_optimal,2045,75.8805339685302
cost_optimal,2050,82.35397116767457
fast_fossil_exit,2025,24.45525309400074
fast_fossil_exit,2030,66.38474769391127
fast_fossil_exit,2035,74.94491736186887
fast_fossil_exit,2040,79.40792068275628
fast_fossil_exit,2045,83.8629260738518
fast_fossil_exit,2050,86.1795781477454
fossil_incumbent,2025,22.958891300717386
fossil_incumbent,2030,22.334226638976347
fossil_incumbent,2035,25.205351568383016
fossil_incumbent,2040,30.440031947777747
fossil_incumbent,2045,46.24021880432994
fossil_incumbent,2050,55.57448286197955
gas_bridge,2025,24.45520628553264
gas_bridge,2030,66.38487331479463
gas_bridge,2035,74.94494613865463
gas_bridge,2040,79.40792200181735
gas_bridge,2045,83.86291742824599
gas_bridge,2050,86.17959883999903
nuclear_included,2025,24.455253094000735
nuclear_included,2030,28.7572310613153
nuclear_included,2035,53.939362850960535
nuclear_included,2040,66.41533484903469
nuclear_included,2045,75.88054562711994
nuclear_included,2050,82.35397050817382
storage_led,2025,24.45520628553264
storage_led,2030,28.757233705551826
storage_led,2035,74.94488864559072
storage_led,2040,79.40791668948215
storage_led,2045,83.86294064830206
storage_led,2050,86.17962479576026
