archetype,year,fuel,gj_per_mwh_delivered
gas_bridge,2035,biomass,0.06024844020149914
gas_bridge,2035,hydrogen,0.0
gas_bridge,2035,biomethane,0.0
gas_bridge,2040,coal,0.0
gas_bridge,2040,natural_gas,1.4246827574670466
gas_bridge,2040,diesel,0.002347061641510832
gas_bridge,2040,biomass,0.17691749530938647
gas_bridge,2040,hydrogen,0.0
gas_bridge,2040,biomethane,0.0
gas_bridge,2045,coal,0.0
gas_bridge,2045,natural_gas,0.8381765434278883
gas_bridge,2045,diesel,0.0015841198385798756
gas_bridge,2045,biomass,0.326294359055209
gas_bridge,2045,hydrogen,0.0
gas_bridge,2045,biomethane,0.0
gas_bridge,2050,coal,0.0
gas_bridge,2050,natural_gas,0.765770911167569
gas_bridge,2050,diesel,0.004729469246113429
gas_bridge,2050,biomass,1.188050559640882
gas_bridge,2050,hydrogen,0.0
gas_bridge,2050,biomethane,0.0
storage_led,2025,coal,4.370592743185378
storage_led,2025,natural_gas,0.4460128025144677
storage_led,2025,diesel,0.0
storage_led,2025,biomass,0.0
storage_led,2025,hydrogen,0.0
storage_led,2025,biomethane,0.0
storage_led,2030,coal,4.315158926905204
storage_led,2030,natural_gas,0.6057041461494147
storage_led,2030,diesel,0.0
storage_led,2030,biomass,0.0
storage_led,2030,hydrogen,0.0
storage_led,2030,biomethane,0.0
storage_led,2035,coal,0.0
storage_led,2035,natural_gas,1.7030459775525393
storage_led,2035,diesel,0.0006615242255791412
storage_led,2035,biomass,0.06024844020149917
storage_led,2035,hydrogen,0.0
storage_led,2035,biomethane,0.0
storage_led,2040,coal,0.0
storage_led,2040,natural_gas,1.4246827574670466
storage_led,2040,diesel,0.0023470616415108532
storage_led,2040,biomass,0.17691749530938647
storage_led,2040,hydrogen,0.0
storage_led,2040,biomethane,0.0
storage_led,2045,coal,0.0
storage_led,2045,natural_gas,0.838176543427888
storage_led,2045,diesel,0.0015841198385798756
storage_led,2045,biomass,0.326294359055209
storage_led,2045,hydrogen,0.0
storage_led,2045,biomethane,0.0
storage_led,2050,coal,0.0
storage_led,2050,natural_gas,0.7657709111675685
storage_led,2050,diesel,0.004729469246113429
storage_led,2050,biomass,1.1880505596408821
storage_led,2050,hydrogen,0.0
storage_led,2050,biomethane,0.0
