archetype,year,fuel,gj_per_mwh_delivered
gas_bridge,2035,diesel,0.0007537321000573121
gas_bridge,2035,biomass,0.06024844020149927
gas_bridge,2035,hydrogen,0.0
gas_bridge,2035,biomethane,0.0
gas_bridge,2040,coal,0.0
gas_bridge,2040,natural_gas,1.4025411158635746
gas_bridge,2040,diesel,0.0025011524064841697
gas_bridge,2040,biomass,0.2859380075890707
gas_bridge,2040,hydrogen,0.0
gas_bridge,2040,biomethane,0.0
gas_bridge,2045,coal,0.0
gas_bridge,2045,natural_gas,0.9025641676091845
gas_bridge,2045,diesel,0.0030570146492475765
gas_bridge,2045,biomass,0.3264670139017162
gas_bridge,2045,hydrogen,0.0
gas_bridge,2045,biomethane,0.0
gas_bridge,2050,coal,0.0
gas_bridge,2050,natural_gas,0.8407965800803409
gas_bridge,2050,diesel,0.00796049279048795
gas_bridge,2050,biomass,1.3151247097181058
gas_bridge,2050,hydrogen,0.0
gas_bridge,2050,biomethane,0.0
nuclear_included,2025,coal,5.924158536186452
nuclear_included,2025,natural_gas,0.6211146035832787
nuclear_included,2025,diesel,0.0
nuclear_included,2025,biomass,0.0
nuclear_included,2025,hydrogen,0.0
nuclear_included,2025,biomethane,0.0
nuclear_included,2030,coal,5.107419343479816
nuclear_included,2030,natural_gas,0.8325749853376222
nuclear_included,2030,diesel,0.0007272069316985739
nuclear_included,2030,biomass,0.0
nuclear_included,2030,hydrogen,0.22456411965715584
nuclear_included,2030,biomethane,0.0
nuclear_included,2035,coal,2.5059196978440315
nuclear_included,2035,natural_gas,1.202819779153808
nuclear_included,2035,diesel,0.0008820323007721883
nuclear_included,2035,biomass,0.06024844020149915
nuclear_included,2035,hydrogen,0.0
nuclear_included,2035,biomethane,0.0
nuclear_included,2040,coal,1.4358686636274451
nuclear_included,2040,natural_gas,1.282400504256167
nuclear_included,2040,diesel,0.0027996535389192227
nuclear_included,2040,biomass,0.2859380075890686
nuclear_included,2040,hydrogen,0.0
nuclear_included,2040,biomethane,0.0
nuclear_included,2045,coal,0.8810424726522378
nuclear_included,2045,natural_gas,0.9049599805011721
nuclear_included,2045,diesel,0.0029151395194823393
nuclear_included,2045,biomass,0.32628317274472707
nuclear_included,2045,hydrogen,0.0
nuclear_included,2045,biomethane,0.0
nuclear_included,2050,coal,0.36501568244712185
nuclear_included,2050,natural_gas,0.840673358355287
nuclear_included,2050,diesel,0.00796049279048795
nuclear_included,2050,biomass,1.315124709718109
nuclear_included,2050,hydrogen,0.0
nuclear_included,2050,biomethane,0.0
storage_led,2025,coal,5.924158536186452
storage_led,2025,natural_gas,0.6211146035832789
storage_led,2025,diesel,0.0
storage_led,2025,biomass,0.0
storage_led,2025,hydrogen,0.0
storage_led,2025,biomethane,0.0
storage_led,2030,coal,5.107419343479816
storage_led,2030,natural_gas,0.8325749853376222
storage_led,2030,diesel,0.0007272069316985739
storage_led,2030,biomass,0.0
storage_led,2030,hydrogen,0.2245641196571559
storage_led,2030,biomethane,0.0
storage_led,2035,coal,0.0
storage_led,2035,natural_gas,1.6957382054301469
storage_led,2035,diesel,0.000753732100057306
storage_led,2035,biomass,0.06024844020149927
storage_led,2035,hydrogen,0.0
storage_led,2035,biomethane,0.0
storage_led,2040,coal,0.0
storage_led,2040,natural_gas,1.402541115863574
storage_led,2040,diesel,0.0025011524064842035
storage_led,2040,biomass,0.2859380075890698
storage_led,2040,hydrogen,0.0
storage_led,2040,biomethane,0.0
storage_led,2045,coal,0.0
storage_led,2045,natural_gas,0.9025641676091843
storage_led,2045,diesel,0.0030570146492475774
storage_led,2045,biomass,0.32646701390171623
storage_led,2045,hydrogen,0.0
storage_led,2045,biomethane,0.0
storage_led,2050,coal,0.0
storage_led,2050,natural_gas,0.8407965800803412
storage_led,2050,diesel,0.00796049279048795
storage_led,2050,biomass,1.3151247097181054
storage_led,2050,hydrogen,0.0
storage_led,2050,biomethane,0.0
