archetype_id,year,demand_twh,total_generation_twh,supply_gap_pct
cost_optimal,2025,200.54380680008143,201.96955494710352,0.7109410007577055
cost_optimal,2030,229.26063757755153,232.72541278452738,1.5112821998516097
cost_optimal,2035,252.02391441684935,258.5423136775142,2.5864209258663213
cost_optimal,2040,277.9009277304443,285.78734732355474,2.8378529202896496
cost_optimal,2045,263.1112886028408,272.9179962646744,3.727209012547018
cost_optimal,2050,296.6984159983122,307.1063344714572,3.507911708299856
fast_fossil_exit,2025,200.54380680008143,201.96968008996066,0.7110034025137763
fast_fossil_exit,2030,229.26063757755153,235.53421750928462,2.736440061417399
fast_fossil_exit,2035,252.02391441684935,259.754142847369,3.067259886192315
fast_fossil_exit,2040,277.9009277304443,287.2426691024241,3.361536590853337
fast_fossil_exit,2045,263.1112886028408,273.3284497332269,3.883208958703656
fast_fossil_exit,2050,296.6984159983122,307.39039173133654,3.6036511004107012
fossil_incumbent,2025,200.54380680008143,201.6396447660925,0.5464332125217254
fossil_incumbent,2030,229.26063757755153,230.8069869482093,0.6744940548874909
fossil_incumbent,2035,252.02391441684935,256.933682901531,1.948135952114784
fossil_incumbent,2040,277.9009277304443,284.32513939405663,2.311691334058302
fossil_incumbent,2045,263.1112886028408,273.53248358634266,3.960755556646772
fossil_incumbent,2050,296.6984159983122,303.56659475446634,2.3148686969037238
gas_bridge,2025,200.54380680008143,201.96955494710352,0.7109410007577055
gas_bridge,2030,229.26063757755153,235.53509770874786,2.736823991023697
gas_bridge,2035,252.02391441684935,259.7544411859542,3.0673782632859563
gas_bridge,2040,277.9009277304443,287.2426875022486,3.361543211854803
gas_bridge,2045,263.1112886028408,273.32830329473535,3.88315330221993
gas_bridge,2050,296.6984159983122,307.3908519639932,3.6038062184133066
nuclear_included,2025,200.54380680008143,201.96968008996066,0.7110034025137763
nuclear_included,2030,229.26063757755153,232.7255555700442,1.5113444807203786
nuclear_included,2035,252.02391441684935,258.5423136775142,2.5864209258663213
nuclear_included,2040,277.9009277304443,285.7873473235547,2.837852920289628
nuclear_included,2045,263.1112886028408,272.9181281846965,3.7272591510350965
nuclear_included,2050,296.6984159983122,307.10632299369956,3.507907839806776
storage_led,2025,200.54380680008143,201.96955494710352,0.7109410007577055
storage_led,2030,229.26063757755153,232.72556420785338,1.5113482484012368
storage_led,2035,252.02391441684935,259.7538451367698,3.0671417582758145
storage_led,2040,277.9009277304443,287.24261339952574,3.361516546696314
storage_led,2045,263.1112886028408,273.3286965943064,3.883302782530382
storage_led,2050,296.6984159983122,307.39142926840407,3.6040007945821517
