archetype_id,year,technology,generation_twh
fossil_incumbent,2050,Water,20.925430004864822
fossil_incumbent,2050,Wind,70.207491449206
storage_led,2025,Biomass,0.0
storage_led,2025,Black Coal,75.95789965662173
storage_led,2025,Brown Coal,38.169120513099536
storage_led,2025,Gas,14.581036906750716
storage_led,2025,Hyblend,0.0
storage_led,2025,Hydrogen,0.0
storage_led,2025,Liquid Fuel,0.0
storage_led,2025,Solar,18.184154347845052
storage_led,2025,Water,23.869426574345187
storage_led,2025,Wind,31.207916948441305
storage_led,2030,Biomass,0.0
storage_led,2030,Black Coal,90.37675405480265
storage_led,2030,Brown Coal,26.917563245773596
storage_led,2030,Gas,24.94358950618216
storage_led,2030,Hyblend,0.057820881906605066
storage_led,2030,Hydrogen,0.0
storage_led,2030,Liquid Fuel,0.021117857142857147
storage_led,2030,Solar,19.04292519705564
storage_led,2030,Water,23.48328427022903
storage_led,2030,Wind,47.88250919476083
storage_led,2035,Biomass,0.8741530401368559
storage_led,2035,Black Coal,0.0
storage_led,2035,Brown Coal,0.0
storage_led,2035,Gas,44.30645168149227
storage_led,2035,Hyblend,0.0
storage_led,2035,Hydrogen,0.0
storage_led,2035,Liquid Fuel,0.02406141180855612
storage_led,2035,Solar,76.88776600864168
storage_led,2035,Water,20.751102053076682
storage_led,2035,Wind,116.91031094161379
storage_led,2040,Biomass,4.574691320263468
storage_led,2040,Gas,38.56746628471781
storage_led,2040,Hyblend,0.0
storage_led,2040,Hydrogen,0.0
storage_led,2040,Liquid Fuel,0.08804252605991121
storage_led,2040,Solar,106.59789368788728
storage_led,2040,Water,20.493729443761318
storage_led,2040,Wind,116.92079013683596
storage_led,2045,Biomass,4.945141241701649
storage_led,2045,Gas,21.836849591821714
storage_led,2045,Hyblend,0.17712853528376646
storage_led,2045,Hydrogen,0.0
storage_led,2045,Liquid Fuel,0.10188244139456357
storage_led,2045,Solar,157.85441057707345
storage_led,2045,Water,21.991353426145587
storage_led,2045,Wind,66.42193078088566
storage_led,2050,Biomass,22.46374069581475
storage_led,2050,Gas,20.68656635473262
storage_led,2050,Hyblend,0.8893766953701423
storage_led,2050,Hydrogen,0.0
storage_led,2050,Liquid Fuel,0.2991696428571428
storage_led,2050,Solar,134.3527124440378
storage_led,2050,Water,20.607536177608754
storage_led,2050,Wind,108.09232725798287
cost_optimal,2025,Biomass,0.0003168769783039696
cost_optimal,2025,Black Coal,41.40105499538013
cost_optimal,2025,Brown Coal,25.208159850571654
cost_optimal,2025,Gas,8.81424558813839
cost_optimal,2025,Hyblend,0.0
cost_optimal,2025,Hydrogen,62.64294034447796
cost_optimal,2025,Liquid Fuel,0.0
cost_optimal,2025,Solar,16.011513597698297
cost_optimal,2025,Water,20.969056202463577
cost_optimal,2025,Wind,26.674952887623295
cost_optimal,2030,Biomass,0.0005795273085971006
