sweep_id,year,carrier,capacity_gw
c350,2030,Biomass,1.4999686694964744
c350,2030,Black Coal,2.2150326580581168
c350,2030,Brown Coal,0.0001472677067606
c350,2030,Gas,16.24193013995015
c350,2030,Liquid Fuel,0.142178375415805
c350,2030,Solar,21.8194141641187
c350,2030,Water,6.8853
c350,2030,Wind,40.014592189621325
c350,2035,Biomass,3.467184924658688
c350,2035,Black Coal,0.784415420834602
c350,2035,Brown Coal,3.675596409067504e-05
c350,2035,Gas,16.721929395894385
c350,2035,Liquid Fuel,0.0019199605566906
c350,2035,Solar,24.78212851503493
c350,2035,Water,6.8853
c350,2035,Wind,43.06095167169183
c350,2040,Biomass,6.434199532330735
c350,2040,Black Coal,0.7842040183870518
c350,2040,Brown Coal,3.646663029973999e-05
c350,2040,Gas,17.26394873783329
c350,2040,Liquid Fuel,0.0016723515209802
c350,2040,Solar,28.03015927633718
c350,2040,Water,6.8853
c350,2040,Wind,46.18323920967221
c350,2045,Biomass,8.425460297977759
c350,2045,Black Coal,0.0002693422191517
c350,2045,Brown Coal,3.553976374091858e-05
c350,2045,Gas,17.512868735586196
c350,2045,Liquid Fuel,0.0016719392718156
c350,2045,Solar,28.026849389993476
c350,2045,Water,6.8853
c350,2045,Wind,46.46812330139113
c350,2050,Biomass,9.687081920888406
c350,2050,Black Coal,4.5596682112899376e-05
c350,2050,Gas,17.110864278978564
c350,2050,Liquid Fuel,0.0016719373895654
c350,2050,Solar,28.021781209767084
c350,2050,Water,6.8853
c350,2050,Wind,47.177662233234045
c40,2025,Black Coal,13.555
c40,2025,Brown Coal,4.82
c40,2025,Gas,11.874
c40,2025,Hyblend,0.2
c40,2025,Liquid Fuel,0.6635
c40,2025,Solar,11.8659
c40,2025,Water,6.8371
c40,2025,Wind,14.9184
c40,2030,Biomass,1.499928598865429
c40,2030,Black Coal,6.356567945941916
c40,2030,Brown Coal,3.3699893984444587
c40,2030,Gas,8.668651333596843
c40,2030,Liquid Fuel,0.0021053775921073
c40,2030,Solar,20.58242953229749
c40,2030,Water,6.8853
c40,2030,Wind,34.19257621760721
c40,2035,Biomass,3.46753761053997
c40,2035,Black Coal,4.914967765082074
c40,2035,Brown Coal,1.159999387981782
c40,2035,Gas,11.469207477784536
c40,2035,Liquid Fuel,0.0013143798615571
c40,2035,Solar,23.86514164956749
c40,2035,Water,6.8853
c40,2035,Wind,38.04486679335017
c40,2040,Biomass,6.434682414097463
c40,2040,Black Coal,3.4847753204299288
c40,2040,Brown Coal,1.1599988107486838
c40,2040,Gas,13.342984624492416
c40,2040,Liquid Fuel,0.0010114032628226
c40,2040,Solar,25.29170629935317
c40,2040,Water,6.8853
c40,2040,Wind,41.11701077429298
c40,2045,Biomass,8.141797817982354
c40,2045,Black Coal,1.3390562311890832
c40,2045,Brown Coal,1.1599983603090764
c40,2045,Gas,14.300162601169625
c40,2045,Liquid Fuel,0.001011254779424
c40,2045,Solar,25.2866244187408
c40,2045,Water,6.8853
c40,2045,Wind,42.13165164565102
c40,2050,Biomass,9.650405707258352
c40,2050,Black Coal,1.3390559905308623
c40,2050,Gas,16.20094048074593
c40,2050,Liquid Fuel,0.0010112513484454
c40,2050,Solar,25.318599436365457
c40,2050,Water,6.8853
c40,2050,Wind,43.28141792814053
c550,2025,Black Coal,13.555
c550,2025,Brown Coal,4.82
c550,2025,Gas,11.874
c550,2025,Hyblend,0.2
c550,2025,Liquid Fuel,0.6635
c550,2025,Solar,11.8659
c550,2025,Water,6.8371
c550,2025,Wind,14.9184
c550,2030,Biomass,1.499959995641992
c550,2030,Black Coal,2.1271358411877714
c550,2030,Brown Coal,0.0001445484712589
c550,2030,Gas,16.96372396855298
c550,2030,Liquid Fuel,0.1493319060440723
c550,2030,Solar,22.007794406206845
c550,2030,Water,6.8853
c550,2030,Wind,40.52020400076367
c550,2035,Biomass,3.4668520059442325
c550,2035,Black Coal,0.6967196366859782
c550,2035,Brown Coal,7.125248372365215e-05
c550,2035,Gas,17.109677081763916
c550,2035,Liquid Fuel,0.0021058625030301
c550,2035,Solar,25.22948490227366
c550,2035,Water,6.8853
c550,2035,Wind,43.577285070466864
c550,2040,Biomass,6.434049392251235
c550,2040,Black Coal,0.6661313294351543
c550,2040,Brown Coal,7.098024037440947e-05
c550,2040,Gas,17.459433398949535
c550,2040,Liquid Fuel,0.0016559452626501
c550,2040,Solar,28.68772011411419
c550,2040,Water,6.8853
c550,2040,Wind,46.563849797393445
c550,2045,Biomass,8.355626296483337
c550,2045,Black Coal,0.000272318075764
c550,2045,Brown Coal,5.556898172114494e-05
c550,2045,Gas,17.57734981598017
c550,2045,Liquid Fuel,0.0016556487846283
c550,2045,Solar,28.68643667231916
c550,2045,Water,6.8853
c550,2045,Wind,47.06030508053373
c550,2050,Biomass,9.586678808443429
c550,2050,Black Coal,4.682080447769522e-05
c550,2050,Gas,17.200039137747826
c550,2050,Liquid Fuel,0.0016556472540047
c550,2050,Solar,28.683057396210447
c550,2050,Water,6.8853
c550,2050,Wind,47.69944600682962
c80,2025,Black Coal,13.555
c80,2025,Brown Coal,4.82
c80,2025,Gas,11.874
c80,2025,Hyblend,0.2
c80,2025,Liquid Fuel,0.6635
c80,2025,Solar,11.8659
c80,2025,Water,6.8371
c80,2025,Wind,14.9184
c80,2030,Biomass,1.4999935020199893
c80,2030,Black Coal,5.794607862028318
c80,2030,Brown Coal,2.9491832224728234
c80,2030,Gas,8.841583177967657
c80,2030,Liquid Fuel,0.0003263753079825
c80,2030,Solar,21.48488032271326
c80,2030,Water,6.8853
c80,2030,Wind,38.11273173916593
c80,2035,Biomass,3.467831855920238
c80,2035,Black Coal,4.260708057623694
c80,2035,Brown Coal,1.1599954136262025
c80,2035,Gas,11.487345280824275
c80,2035,Liquid Fuel,0.0002097754274658
c80,2035,Solar,24.63406772276772
c80,2035,Water,6.8853
c80,2035,Wind,41.68733444021399
c80,2040,Biomass,6.435362824401723
c80,2040,Black Coal,2.547494805518493
