archetype_id,year,renewable_share_pct
cost_optimal,2025,24.45520628553264
cost_optimal,2030,28.75718735128181
cost_optimal,2035,53.939362850960535
cost_optimal,2040,66.41533484903469
cost_optimal,2045,75.8805339685302
cost_optimal,2050,82.35397116767457
fossil_incumbent,2025,22.958891300717386
fossil_incumbent,2030,22.334226638976347
fossil_incumbent,2035,25.205351568383016
fossil_incumbent,2040,30.440031947777747
fossil_incumbent,2045,46.24021880432994
fossil_incumbent,2050,55.57448286197955
storage_led,2025,24.45520628553264
storage_led,2030,28.757233705551826
storage_led,2035,74.94488864559072
storage_led,2040,79.40791668948215
storage_led,2045,83.86294064830206
storage_led,2050,86.17962479576026
cost_optimal,2025,21.161168589862438
cost_optimal,2030,26.091013960128056
cost_optimal,2035,28.060756448986
cost_optimal,2040,47.54245175016051
cost_optimal,2045,68.17242589956555
cost_optimal,2050,82.59863704337585
fossil_incumbent,2025,21.353330676297293
fossil_incumbent,2030,22.3562001072994
fossil_incumbent,2035,20.78584323809009
fossil_incumbent,2040,23.552772276974306
fossil_incumbent,2045,45.13725434292513
fossil_incumbent,2050,72.17257048971379
gas_fleet_maintained,2025,21.161168589862438
gas_fleet_maintained,2030,36.74590439957812
gas_fleet_maintained,2035,41.9074369976065
gas_fleet_maintained,2040,55.6223058296826
gas_fleet_maintained,2045,73.49545989465311
gas_fleet_maintained,2050,86.76845738627046
nuclear_baseload,2025,21.162660302469284
nuclear_baseload,2030,26.206435203319327
nuclear_baseload,2035,28.078803724907193
nuclear_baseload,2040,47.54944407404806
nuclear_baseload,2045,61.709599367189426
nuclear_baseload,2050,71.06042984036462
rapid_coal_phaseout,2025,21.161168589862438
rapid_coal_phaseout,2030,36.684464976485756
rapid_coal_phaseout,2035,41.91705073847533
rapid_coal_phaseout,2040,55.6223058296826
rapid_coal_phaseout,2045,73.49545989465311
rapid_coal_phaseout,2050,86.76845738627046
storage_led,2025,21.171225301223014
storage_led,2030,28.05166802036424
storage_led,2035,77.92767878301616
storage_led,2040,82.87783926153715
storage_led,2045,83.7503973321098
storage_led,2050,86.98348562541113
cost_optimal,2025,21.16406818292209
cost_optimal,2030,26.114977880772138
cost_optimal,2035,28.053212216423184
cost_optimal,2040,42.64266291041085
cost_optimal,2045,68.169573856316
cost_optimal,2050,57.635748438893486
fossil_incumbent,2025,21.35439849648803
fossil_incumbent,2030,22.353031885193904
fossil_incumbent,2035,20.789087663625388
fossil_incumbent,2040,23.530503504773442
fossil_incumbent,2045,41.00410248545472
fossil_incumbent,2050,36.94996259319679
gas_fleet_maintained,2025,21.16406818292209
gas_fleet_maintained,2030,36.697129655545204
gas_fleet_maintained,2035,41.912345802109236
gas_fleet_maintained,2040,49.17661127351762
gas_fleet_maintained,2045,73.49816852288029
gas_fleet_maintained,2050,60.791755899559284
nuclear_baseload,2025,21.15902080173604
nuclear_baseload,2030,26.134655091737525
nuclear_baseload,2035,28.059860687700443
nuclear_baseload,2040,42.60422283052939
nuclear_baseload,2045,61.77907653099588
nuclear_baseload,2050,55.795800860253344
rapid_coal_phaseout,2025,21.16406818292209
rapid_coal_phaseout,2030,36.67656425671232
rapid_coal_phaseout,2035,41.90601212799551
rapid_coal_phaseout,2040,49.17661127351762
rapid_coal_phaseout,2045,73.49816852288029
rapid_coal_phaseout,2050,60.791755899559284
storage_led,2025,21.157376402310963
storage_led,2030,27.990301629443604
storage_led,2035,71.46891557390745
storage_led,2040,76.8231735255683
storage_led,2045,82.94101414977563
storage_led,2050,83.75430904631733
